feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char4,Isaiah_55,Prophetic,0.6161840602790095,1
char,char4,Isaiah_55,Poetic/Wisdom,0.6054101148220232,2
char,char4,Isaiah_55,Narrative,0.54569079568476,3
char,char4,Isaiah_56,Prophetic,0.5824339807180958,1
char,char4,Isaiah_56,Poetic/Wisdom,0.5659169247843088,2
char,char4,Isaiah_56,Narrative,0.522826442501807,3
char,char4,Isaiah_57,Poetic/Wisdom,0.6730940802474947,1
char,char4,Isaiah_57,Prophetic,0.6511874031884877,2
char,char4,Isaiah_57,Narrative,0.5951128376472038,3
char,char4,Isaiah_58,Poetic/Wisdom,0.6596671709781693,1
char,char4,Isaiah_58,Prophetic,0.6579098800883074,2
char,char4,Isaiah_58,Narrative,0.5857063563855393,3
char,char4,Isaiah_59,Poetic/Wisdom,0.634835792696967,1
char,char4,Isaiah_59,Prophetic,0.61937405910076,2
char,char4,Isaiah_59,Narrative,0.5480171313422506,3
char,char4,Isaiah_60,Prophetic,0.732428941961903,1
char,char4,Isaiah_60,Poetic/Wisdom,0.6842661451200375,2
char,char4,Isaiah_60,Narrative,0.6107340896986221,3
char,char4,Isaiah_61,Prophetic,0.6920215885659651,1
char,char4,Isaiah_61,Poetic/Wisdom,0.6487557665384259,2
char,char4,Isaiah_61,Narrative,0.567898467807578,3
char,char4,Isaiah_62,Prophetic,0.6556591984229508,1
char,char4,Isaiah_62,Poetic/Wisdom,0.6398364013176061,2
char,char4,Isaiah_62,Narrative,0.5684940232515354,3
char,char4,Isaiah_63,Poetic/Wisdom,0.6680011342011437,1
char,char4,Isaiah_63,Prophetic,0.6482215823454824,2
char,char4,Isaiah_63,Narrative,0.6073020696307567,3
char,char4,Isaiah_64,Poetic/Wisdom,0.5140956162673853,1
char,char4,Isaiah_64,Prophetic,0.4590199203653324,2
char,char4,Isaiah_64,Narrative,0.40958011543944567,3
char,char4,Isaiah_65,Prophetic,0.7095775381638096,1
char,char4,Isaiah_65,Poetic/Wisdom,0.6669355075012086,2
char,char4,Isaiah_65,Narrative,0.5981831615039567,3
char,char4,Isaiah_66,Prophetic,0.7370568703828815,1
char,char4,Isaiah_66,Poetic/Wisdom,0.6782240030179172,2
char,char4,Isaiah_66,Narrative,0.6328273034386321,3
char,char5,Isaiah_1,Prophetic,0.5160919515620765,1
char,char5,Isaiah_1,Poetic/Wisdom,0.45842508715098157,2
char,char5,Isaiah_1,Narrative,0.39566458330978155,3
char,char5,Isaiah_2,Prophetic,0.5389239235855667,1
char,char5,Isaiah_2,Poetic/Wisdom,0.46581513547710807,2
char,char5,Isaiah_2,Narrative,0.438672916994561,3
char,char5,Isaiah_3,Prophetic,0.5677930353840601,1
char,char5,Isaiah_3,Poetic/Wisdom,0.48346866307447417,2
char,char5,Isaiah_3,Narrative,0.47734521737953173,3
char,char5,Isaiah_4,Prophetic,0.3896820655930793,1
char,char5,Isaiah_4,Poetic/Wisdom,0.3273992327352484,2
char,char5,Isaiah_4,Narrative,0.3060935945021569,3
char,char5,Isaiah_5,Prophetic,0.5708162788684029,1
char,char5,Isaiah_5,Poetic/Wisdom,0.5010026635618737,2
char,char5,Isaiah_5,Narrative,0.446567021656791,3
char,char5,Isaiah_6,Prophetic,0.411882641147457,1
char,char5,Isaiah_6,Narrative,0.37934043095088604,2
char,char5,Isaiah_6,Poetic/Wisdom,0.3733824616201497,3
char,char5,Isaiah_7,Prophetic,0.5412458349284381,1
char,char5,Isaiah_7,Narrative,0.47705611716664165,2
char,char5,Isaiah_7,Poetic/Wisdom,0.4346536962774331,3
char,char5,Isaiah_8,Prophetic,0.5102401426419335,1
char,char5,Isaiah_8,Narrative,0.43218713531058084,2
char,char5,Isaiah_8,Poetic/Wisdom,0.42781052528471064,3
char,char5,Isaiah_9,Prophetic,0.5437246339293204,1
char,char5,Isaiah_9,Poetic/Wisdom,0.49619761111064203,2
char,char5,Isaiah_9,Narrative,0.45604300470082854,3
char,char5,Isaiah_10,Prophetic,0.6018639903371852,1
char,char5,Isaiah_10,Poetic/Wisdom,0.5203696732812202,2
char,char5,Isaiah_10,Narrative,0.483300145643472,3
char,char5,Isaiah_11,Prophetic,0.5670661042047598,1
char,char5,Isaiah_11,Poetic/Wisdom,0.48903928031797206,2
char,char5,Isaiah_11,Narrative,0.45216352201220195,3
char,char5,Isaiah_12,Poetic/Wisdom,0.3099362219392853,1
char,char5,Isaiah_12,Prophetic,0.28633608686720197,2
char,char5,Isaiah_12,Narrative,0.22480744847890935,3
char,char5,Isaiah_13,Prophetic,0.5715653780890684,1
char,char5,Isaiah_13,Poetic/Wisdom,0.4868585647298007,2
char,char5,Isaiah_13,Narrative,0.40430413484558425,3
char,char5,Isaiah_14,Prophetic,0.6289143964041999,1
char,char5,Isaiah_14,Poetic/Wisdom,0.5620039338853292,2
char,char5,Isaiah_14,Narrative,0.5039411704916085,3
char,char5,Isaiah_15,Prophetic,0.31890975347431266,1
